Athlete,10,20,30,40,50,60,70,80,90,100,RT
Chambers,1.92,2.93,3.86,4.75,5.65,6.5,7.37,8.22,9.12,10,0.123
Bums,1.92,2.94,3.87,4.76,5.67,6.52,7.39,8.24,9.12,10,0.165
Bailey,1.91,2.92,3.85,4.73,5.64,6.48,7.33,8.18,9.06,9.93,0.129
Bolt,1.88,2.88,3.78,4.64,5.47,6.31,7.1,7.92,8.74,9.58,0.146
Gay,1.91,2.93,3.84,4.7,5.54,6.36,7.19,8.02,8.86,9.71,0.144
Powell,1.88,2.9,3.83,4.71,5.56,6.4,7.24,8.09,8.95,9.84,0.134
Patton,1.93,2.96,3.93,4.85,5.78,6.65,7.55,8.42,9.43,10.34,0.149
Thompson,1.89,2.92,3.85,4.73,5.61,6.48,7.32,8.18,9.06,9.93,0.119
